calc label enthalpyR enthalpyP
e2ts_D_A_A_C_A_A e2ts_D_A_A_C_A_A -309.87080101 -209.58537080
e2ts_D_A_A_A_C_C-e2ts_D_D_A_A_C_C e2ts_D_D_A_A_C_C -2730.18451513 -156.67623428
e2ts_D_A_A_A_C_B e2ts_D_A_A_A_C_B -2691.00550617 -117.49793546
e2ts_D_A_A_A_B_C-e2ts_D_C_A_A_B_C e2ts_D_C_A_A_B_C -669.88772885 -209.58434126
e2ts_D_A_A_A_B_B e2ts_D_A_A_A_B_B -577.80974883 -117.49794078
e2ts_C_E_E_D_B_B-e2ts_C_E_E_D_B_A e2ts_C_E_E_D_B_A -780.31777929 -320.02196582
e2ts_C_E_D_D_B_B e2ts_C_E_D_D_B_B -764.26723691 -303.97934611
e2ts_C_E_D_C_B_B-e2ts_C_E_D_E_B_B e2ts_C_E_D_E_B_B -780.30598091 -320.02068644
e2ts_C_E_C_A_A_B e2ts_C_E_C_A_A_B -417.98335630 -317.71297589
e2ts_C_E_A_E_B_B-e2ts_C_E_A_C_B_B e2ts_C_E_A_C_B_B -777.99252831 -317.70828424
e2ts_C_E_A_E_B_A-e2ts_C_E_A_E_B_B e2ts_C_E_A_E_B_B -741.12610327 -280.84085494
e2ts_C_E_A_E_A_A-e2ts_C_A_A_E_A_A e2ts_C_A_A_E_A_A -325.89535748 -225.63426665
e2ts_C_E_A_C_C_C-e2ts_A_E_A_C_C_C e2ts_A_E_A_C_C_C -2799.10118762 -225.63128841
e2ts_C_E_A_C_C_B e2ts_C_E_A_C_C_B -2891.18787156 -317.70826883
e2ts_C_E_A_A_A_A-e2ts_A_E_A_A_A_A e2ts_A_E_A_A_A_A -233.83207164 -133.54041375
e2ts_C_D_E_E_A_C-e2ts_C_C_E_E_A_A e2ts_C_C_E_E_A_A -473.17951252 -372.94884083
e2ts_C_D_E_E_A_A-e2ts_C_E_E_E_A_A e2ts_C_E_E_E_A_A -436.33670761 -336.06846268
e2ts_C_D_E_E_A_A-e2ts_A_D_E_E_A_A e2ts_A_D_E_E_A_A -328.21749230 -227.93879692
e2ts_C_D_E_A_B_A-e2ts_C_D_E_A_B_B e2ts_C_D_E_A_B_B -725.09619886 -264.80794720
e2ts_C_D_E_A_B_A e2ts_C_D_E_A_B_A -725.09621138 -264.80796568
e2ts_C_D_E_A_A_A-e2ts_D_D_E_A_A_A e2ts_D_D_E_A_A_A -312.18017524 -211.89138855
e2ts_C_D_A_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.23302719 -227.92896758
e2ts_C_D_A_E_A_A e2ts_C_D_A_E_A_A -365.07964491 -264.80983899
e2ts_C_D_A_D_A_A-e2ts_E_D_A_D_A_A e2ts_E_D_A_D_A_A -312.18518493 -211.89506627
e2ts_C_D_A_D_A_A-e2ts_D_D_A_D_A_A e2ts_D_D_A_D_A_A -296.14408027 -195.85054697
e2ts_C_D_A_D_A_A-e2ts_C_E_A_D_A_A e2ts_C_E_A_D_A_A -365.08454324 -264.80088693
e2ts_C_D_A_A_C_B e2ts_C_D_A_A_C_B -2783.08355150 -209.58433979
e2ts_C_D_A_A_B_B-e2ts_B_D_A_A_B_B e2ts_B_D_A_A_B_B -781.96848686 -321.66002781
e2ts_C_D_A_A_A_A e2ts_C_D_A_A_A_A -309.87089293 -209.58433990
e2ts_C_C_D_A_A_B e2ts_C_C_D_A_A_B -401.93062684 -301.66155503
e2ts_C_C_A_D_B_C e2ts_C_C_A_D_B_C -761.94879066 -301.66158479
e2ts_C_C_A_C_C_C e2ts_C_C_A_C_C_C -2928.04132607 -354.55579040
e2ts_C_C_A_A_A_B e2ts_C_C_A_A_A_B -362.75680219 -262.47968845
e2ts_C_C_A_A_A_A e2ts_C_C_A_A_A_A -362.75680263 -262.47968815
e2ts_C_B_A_E_A_A-e2ts_C_A_A_E_A_A e2ts_C_A_A_E_A_A -325.89687221 -225.63423398
e2ts_C_A_E_E_B_C-e2ts_C_A_E_E_B_A e2ts_C_A_E_E_B_A -741.13170333 -280.86199358
e2ts_C_A_E_D_B_C-e2ts_D_A_E_D_B_C e2ts_D_A_E_D_B_C -672.19345906 -211.89245972
e2ts_C_A_E_D_B_C-e2ts_C_A_E_D_B_B e2ts_C_A_E_D_B_B -725.09276148 -264.81277846
e2ts_C_A_E_D_B_C-e2ts_C_A_A_D_B_C e2ts_C_A_A_D_B_C -669.88056538 -209.58535266
e2ts_C_A_E_D_B_C e2ts_C_A_E_D_B_C -725.09277002 -264.81278653
e2ts_C_A_E_D_B_A-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.01380901 -227.92914958
e2ts_C_A_E_D_B_A-e2ts_C_A_E_D_B_B e2ts_C_A_E_D_B_B -725.09276885 -264.81280061
e2ts_C_A_E_A_C_D-e2ts_C_A_E_A_C_A e2ts_C_A_E_A_C_A -2799.11177809 -225.63129651
e2ts_C_A_E_A_C_C-e2ts_C_A_A_A_C_C e2ts_C_A_A_A_C_C -2743.90397485 -170.40575674
e2ts_C_A_E_A_C_C e2ts_C_A_E_A_C_C -2799.10973787 -225.63130567
e2ts_C_A_E_A_B_D-e2ts_A_A_E_A_B_D e2ts_A_A_E_A_B_D -593.83514948 -133.54040754
e2ts_C_A_E_A_B_B e2ts_C_A_E_A_B_B -685.91489108
e2ts_C_A_E_A_B_A e2ts_C_A_E_A_B_A -685.91489823 -225.63130841
e2ts_C_A_D_E_C_C-e2ts_C_A_D_E_C_A e2ts_C_A_D_E_C_A -2838.28771051 -264.81525724
e2ts_C_A_D_E_B_D-e2ts_C_A_D_E_B_C e2ts_C_A_D_E_B_C -725.09122467 -264.81524194
e2ts_C_A_D_E_B_B-e2ts_B_A_D_E_B_B e2ts_B_A_D_E_B_B -837.17278809 -376.89025370
e2ts_C_A_D_E_B_A e2ts_C_A_D_E_B_A -725.09061161 -264.81524161
e2ts_C_A_D_D_A_A-e2ts_D_A_D_D_A_A e2ts_D_A_D_D_A_A -296.13807237 -195.84959589
e2ts_C_A_D_D_A_A-e2ts_A_A_D_D_A_A e2ts_A_A_D_D_A_A -256.95950550 -156.67621412
e2ts_C_A_D_A_C_B e2ts_C_A_D_A_C_B -2783.07679129 -209.58480767
e2ts_C_A_D_A_A_A-e2ts_C_A_D_A_A_B e2ts_C_A_D_A_A_B -309.86155079 -209.58477295
e2ts_C_A_A_E_B_C-e2ts_C_D_A_E_B_C e2ts_C_D_A_E_B_C -725.09759241 -264.80981970
e2ts_C_A_A_E_B_C-e2ts_C_A_A_D_B_C e2ts_C_A_A_D_B_C -669.88055735 -209.58537882
e2ts_C_A_A_E_B_B-e2ts_A_A_A_E_B_B e2ts_A_A_A_E_B_B -593.83515003 -133.54042293
e2ts_C_A_A_E_B_A-e2ts_C_A_A_E_B_B e2ts_C_A_A_E_B_B -685.91498196 -225.63426070
e2ts_C_A_A_E_B_A e2ts_C_A_A_E_B_A -685.91381561 -225.63428299
e2ts_C_A_A_D_C_C-e2ts_C_A_A_A_C_C e2ts_C_A_A_A_C_C -2743.90396710 -170.40575156
e2ts_C_A_A_D_B_B-e2ts_B_A_A_D_B_B e2ts_B_A_A_D_B_B -781.95673159 -321.65349213
e2ts_C_A_A_D_A_B-e2ts_C_A_C_D_A_B e2ts_C_A_C_D_A_B -401.93811559 -301.66741072
e2ts_C_A_A_D_A_A-e2ts_C_A_E_D_A_A e2ts_C_A_E_D_A_A -365.07343856 -264.81277351
e2ts_C_A_A_A_C_A e2ts_C_A_A_A_C_A -2743.90395403 -170.40575524
e2ts_C_A_A_A_A_A e2ts_C_A_A_A_A_A -270.68885918 -170.40575531
e2ts_B_E_E_C_B_A-e2ts_A_E_E_C_B_A e2ts_A_E_E_C_B_A -280.84089556
e2ts_B_E_D_A_B_A-e2ts_B_A_D_A_B_A e2ts_B_A_D_A_B_A -781.81663781 -321.65820835
e2ts_B_E_A_E_B_A-e2ts_B_E_A_E_B_B e2ts_B_E_A_E_B_B -392.91936505
e2ts_B_E_A_A_B_B e2ts_B_E_A_A_B_B -798.00274930 -337.70271423
e2ts_B_E_A_A_A_A-e2ts_A_E_A_A_A_A e2ts_A_E_A_A_A_A -233.83245658 -133.54041875
e2ts_B_D_E_E_B_A-e2ts_D_D_E_E_B_A e2ts_D_D_E_E_B_A -727.41543775 -267.11051394
e2ts_B_D_E_E_B_A-e2ts_A_D_E_E_B_A e2ts_A_D_E_E_B_A -688.23570566 -227.93570470
e2ts_B_D_E_A_C_B-e2ts_C_D_E_A_C_B e2ts_C_D_E_A_C_B -2838.29207298 -264.80796214
e2ts_B_D_D_A_A_D-e2ts_B_D_A_A_A_A e2ts_B_D_A_A_A_A -421.95738250 -321.66003289
e2ts_B_D_A_E_B_D-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.23302435 -227.93015189
e2ts_B_D_A_E_A_A-e2ts_B_A_A_E_A_A e2ts_B_A_A_E_A_A -437.98113351 -337.70981681
e2ts_B_D_A_A_A_A-e2ts_E_D_A_A_A_A e2ts_E_D_A_A_A_A -273.01365672 -172.71995896
e2ts_B_C_D_A_B_B e2ts_B_C_D_A_B_B -874.02903096 -413.73468326
e2ts_B_C_D_A_A_A-e2ts_C_C_D_A_A_A e2ts_C_C_D_A_A_A -401.93063392 -301.66154414
e2ts_B_C_A_A_A_A e2ts_B_C_A_A_A_A -474.84187460 -374.55300643
e2ts_B_A_E_E_B_A-e2ts_B_A_E_E_B_D e2ts_B_A_E_E_B_D -853.21004356 -392.93619740
e2ts_B_A_E_D_C_B-e2ts_B_A_E_E_C_B e2ts_B_A_E_E_C_B -2966.40526039 -392.93619534
e2ts_B_A_E_A_C_B-e2ts_B_A_E_A_C_C e2ts_B_A_E_A_C_C -2911.18845507 -337.70438986
e2ts_B_A_E_A_C_B e2ts_B_A_E_A_C_B -2911.18685621 -337.70437333
e2ts_B_A_E_A_B_D-e2ts_D_A_E_A_B_D e2ts_D_A_E_A_B_D -633.01732792 -172.71481980
e2ts_B_A_E_A_B_B-e2ts_E_A_E_A_B_B e2ts_E_A_E_A_B_B -649.05180143 -188.74916966
e2ts_B_A_E_A_B_B-e2ts_B_A_D_A_B_B e2ts_B_A_D_A_B_B -781.95933628 -321.65817959
e2ts_B_A_E_A_B_B-e2ts_A_A_E_A_B_B e2ts_A_A_E_A_B_B -593.83854830 -133.54041907
e2ts_B_A_E_A_B_A-e2ts_B_D_E_A_B_A e2ts_B_D_E_A_B_A -837.17536557 -376.88351065
e2ts_B_A_A_E_B_B-e2ts_B_C_A_E_B_B e2ts_B_C_A_E_B_B -890.06372976 -429.79132349
e2ts_B_A_A_E_B_A-e2ts_B_A_A_E_B_B e2ts_B_A_A_E_B_B -797.99294502 -337.70983689
e2ts_B_A_A_C_B_A e2ts_B_A_A_C_B_A -834.84160922 -374.55374511
e2ts_B_A_A_A_C_A e2ts_B_A_A_A_C_A -2855.94119520 -282.47954293
e2ts_B_A_A_A_B_B-e2ts_B_D_A_A_B_B e2ts_B_D_A_A_B_B -781.96857097 -321.66002379
e2ts_B_A_A_A_B_B e2ts_B_A_A_A_B_B -742.78637575 -282.47955784
