calc label enthalpy
e2ts_C_D_D_D_C_C_e2ts_C_D_D_D_B_C e2ts_C_D_D_D_C_C_e2ts_C_D_D_D_B_C -1207.98146721
e2ts_C_D_A_A_C_C_e2ts_C_D_B_A_C_C e2ts_C_D_A_A_C_C_e2ts_C_D_B_A_C_C -3575.10588153
e2ts_C_D_E_E_B_C_e2ts_C_D_E_E_C_C e2ts_C_D_E_E_B_C_e2ts_C_D_E_E_C_C -3353.26729937
e2ts_C_E_E_C_C_C_e2ts_C_E_E_C_C_D e2ts_C_E_E_C_C_C_e2ts_C_E_E_C_C_D -5519.38373217
e2ts_E_C_C_E_A_A_e2ts_E_C_C_E_C_A e2ts_E_C_C_E_A_A_e2ts_E_C_C_E_C_A -2946.95163911
e2ts_C_B_A_E_C_C_e2ts_C_B_A_E_C_B e2ts_C_B_A_E_C_C_e2ts_C_B_A_E_C_B -3102.97563952
e2ts_D_B_D_E_B_B_e2ts_D_B_D_E_B_D e2ts_D_B_D_E_B_B_e2ts_D_B_D_E_B_D -3449.29385665
e2ts_E_D_D_E_C_B_e2ts_E_D_D_E_A_B e2ts_E_D_D_E_C_B_e2ts_E_D_D_E_A_B -467.09452845
e2ts_B_D_D_A_C_B_e2ts_B_E_D_A_C_B e2ts_B_D_D_A_C_B_e2ts_B_E_D_A_C_B -3050.09775253
e2ts_C_D_D_A_B_C_e2ts_C_D_D_D_B_C e2ts_C_D_D_A_B_C_e2ts_C_D_D_D_B_C -1207.98148563
e2ts_D_B_E_E_B_D_e2ts_D_B_D_E_B_D e2ts_D_B_E_E_B_D_e2ts_D_B_D_E_B_D -3449.29385665
e2ts_C_E_D_D_B_B_e2ts_E_E_D_D_B_B e2ts_C_E_D_D_B_B_e2ts_E_E_D_D_B_B -827.16992566
e2ts_A_C_D_E_B_C_e2ts_A_E_D_E_B_C e2ts_A_C_D_E_B_C_e2ts_A_E_D_E_B_C -1147.98842414
e2ts_C_A_E_E_B_D_e2ts_C_B_E_E_B_D e2ts_C_A_E_E_B_D_e2ts_C_B_E_E_B_D -3518.24210077
e2ts_E_D_A_B_C_B_e2ts_E_E_A_B_C_B e2ts_E_D_A_B_C_B_e2ts_E_E_A_B_C_B -3066.15092951
e2ts_C_A_D_C_C_C_e2ts_C_E_D_C_C_C e2ts_C_A_D_C_C_C_e2ts_C_E_D_C_C_C -3390.14581647
e2ts_C_B_A_E_C_C_e2ts_C_D_A_E_C_C e2ts_C_B_A_E_C_C_e2ts_C_D_A_E_C_C -3298.04097160
