calc label enthalpy
sn2_E_C_A_B_A_A sn2_E_C_A_B_A_A -530.57151117
sn2_E_C_A_A_C_B sn2_E_C_A_A_C_B -2898.82331757
sn2_E_C_A_A_A_D sn2_E_C_A_A_A_D -2898.82329248
sn2_E_C_A_A_A_C sn2_E_C_A_A_A_C -785.62157045
sn2_E_C_A_A_A_B sn2_E_C_A_A_A_B -425.58831444
sn2_E_B_E_E_C_B sn2_E_B_E_E_C_B -3121.32245019
sn2_E_B_E_E_A_A sn2_E_B_E_E_A_A -548.91534614
sn2_E_B_E_C_A_D sn2_E_B_E_C_A_D -3158.21203980
sn2_E_B_E_A_B_B sn2_E_B_E_A_B_B -952.90940414
sn2_E_B_E_A_A_D sn2_E_B_E_A_A_D -3066.12325797
sn2_E_B_E_A_A_C sn2_E_B_E_A_A_C -952.92202653
sn2_E_B_D_D_C_B sn2_E_B_D_D_C_B -3089.25195015
sn2_E_B_D_D_A_A sn2_E_B_D_D_A_A -516.83151063
sn2_E_B_D_C_B_B sn2_E_B_D_C_B_B -1028.96870021
sn2_E_B_D_C_A_B sn2_E_B_D_C_A_B -668.94503126
sn2_E_B_D_A_B_B sn2_E_B_D_A_B_B -936.87899768
sn2_E_B_D_A_A_C sn2_E_B_D_A_A_C -936.87902905
sn2_E_B_D_A_A_B sn2_E_B_D_A_A_B -576.84965626
sn2_E_B_D_A_A_A sn2_E_B_D_A_A_A -477.65735889
sn2_E_B_C_E_B_B sn2_E_B_C_E_B_B -1045.00186560
sn2_E_B_C_D_C_B sn2_E_B_C_D_C_B -3142.17132401
sn2_E_B_C_C_B_B sn2_E_B_C_C_B_B -1081.87505336
sn2_E_B_C_A_C_B sn2_E_B_C_A_C_B -3102.99548138
sn2_E_B_C_A_B_C sn2_E_B_C_A_B_C -1349.82656737
sn2_E_B_C_A_B_B sn2_E_B_C_A_B_B -989.79507772
sn2_E_B_C_A_B_A sn2_E_B_C_A_B_A -890.60354500
sn2_E_B_C_A_A_C sn2_E_B_C_A_A_C -989.79440455
sn2_E_B_C_A_A_A sn2_E_B_C_A_A_A -530.58265907
sn2_E_B_B_A_B_C sn2_E_B_B_A_B_C -1461.89497574
sn2_E_B_B_A_B_B sn2_E_B_B_A_B_B -1101.86494872
sn2_E_B_B_A_A_A sn2_E_B_B_A_A_A -642.66249968
sn2_E_B_A_E_C_B sn2_E_B_A_E_C_B -3066.12367782
sn2_E_B_A_E_B_B sn2_E_B_A_E_B_B -952.92280921
sn2_E_B_A_D_A_C sn2_E_B_A_D_A_C -936.88260119
sn2_E_B_A_C_C_C sn2_E_B_A_C_C_C -3463.03250028
sn2_E_B_A_C_C_B sn2_E_B_A_C_C_B -3102.99936187
sn2_E_B_A_C_B_C sn2_E_B_A_C_B_C -1349.83065942
sn2_E_B_A_C_B_B sn2_E_B_A_C_B_B -989.79903132
sn2_E_B_A_C_A_B sn2_E_B_A_C_A_B -629.77470459
sn2_E_B_A_B_A_A sn2_E_B_A_B_A_A -642.66248059
sn2_E_B_A_A_C_B sn2_E_B_A_A_C_B -3010.91038371
sn2_E_B_A_A_A_D sn2_E_B_A_A_A_D -3010.91041662
sn2_E_B_A_A_A_C sn2_E_B_A_A_A_C -897.70930050
sn2_E_B_A_A_A_B sn2_E_B_A_A_A_B -537.67981963
sn2_E_B_A_A_A_A sn2_E_B_A_A_A_A -438.48771559
sn2_E_A_E_D_A_D sn2_E_A_E_D_A_D -2901.11961693
sn2_E_A_E_D_A_C sn2_E_A_E_D_A_C -787.91699469
sn2_E_A_E_D_A_B sn2_E_A_E_D_A_B -427.87808699
sn2_E_A_E_C_B_B sn2_E_A_E_C_B_B -840.83363815
sn2_E_A_E_C_A_D sn2_E_A_E_C_A_D -2954.03018765
sn2_E_A_E_C_A_B sn2_E_A_E_C_A_B -480.79612075
sn2_E_A_E_B_B_A sn2_E_A_E_B_B_A -853.71673924
sn2_E_A_E_B_A_C sn2_E_A_E_B_A_C -952.91069446
sn2_E_A_E_A_A_C sn2_E_A_E_A_A_C -748.74030341
sn2_E_A_E_A_A_B sn2_E_A_E_A_A_B -388.69889599
sn2_E_A_E_A_A_A sn2_E_A_E_A_A_A -289.50409393
sn2_E_A_D_D_A_D sn2_E_A_D_D_A_D -2885.08773974
sn2_E_A_D_D_A_B sn2_E_A_D_D_A_B -411.84133550
sn2_E_A_D_C_C_A sn2_E_A_D_C_C_A -2838.80672678
sn2_E_A_D_C_A_C sn2_E_A_D_C_A_C -824.80325112
sn2_E_A_D_C_A_B sn2_E_A_D_C_A_B -464.76506886
sn2_E_A_D_B_A_B sn2_E_A_D_B_A_B -576.84301985
sn2_E_A_D_A_A_B sn2_E_A_D_A_A_B -372.66432753
sn2_E_A_D_A_A_A sn2_E_A_D_A_A_A -273.46838494
sn2_E_A_C_E_B_B sn2_E_A_C_E_B_B -840.84262659
sn2_E_A_C_E_A_B sn2_E_A_C_E_A_B -480.79972868
sn2_E_A_C_E_A_A sn2_E_A_C_E_A_A -381.60167641
sn2_E_A_C_D_C_A sn2_E_A_C_D_C_A -2838.80397182
sn2_E_A_C_D_B_A sn2_E_A_C_D_B_A -725.60170208
sn2_E_A_C_D_A_D sn2_E_A_C_D_A_D -2938.00183151
sn2_E_A_C_D_A_C sn2_E_A_C_D_A_C -824.80042044
sn2_E_A_C_D_A_A sn2_E_A_C_D_A_A -365.56767151
sn2_E_A_C_C_C_B sn2_E_A_C_C_C_B -2990.90910768
sn2_E_A_C_C_B_B sn2_E_A_C_C_B_B -877.70762481
sn2_E_A_C_C_A_D sn2_E_A_C_C_A_D -2990.90906919
sn2_E_A_C_C_A_C sn2_E_A_C_C_A_C -877.70834642
sn2_E_A_C_C_A_B sn2_E_A_C_C_A_B -517.67620810
sn2_E_A_C_C_A_A sn2_E_A_C_C_A_A -418.47949716
sn2_E_A_C_B_C_B sn2_E_A_C_B_C_B -3102.98374019
sn2_E_A_C_B_B_B sn2_E_A_C_B_B_B -989.78224362
sn2_E_A_C_B_A_B sn2_E_A_C_B_A_B -629.75223586
sn2_E_A_C_A_C_A sn2_E_A_C_A_C_A -2799.63100459
sn2_E_A_C_A_B_B sn2_E_A_C_A_B_B -785.62643245
sn2_E_A_C_A_A_D sn2_E_A_C_A_A_D -2898.82824975
sn2_E_A_C_A_A_C sn2_E_A_C_A_A_C -785.62646605
sn2_E_A_C_A_A_B sn2_E_A_C_A_A_B -425.58888799
sn2_E_A_C_A_A_A sn2_E_A_C_A_A_A -326.39229061
sn2_E_A_B_D_B_B sn2_E_A_B_D_B_B -936.87889442
sn2_E_A_B_D_B_A sn2_E_A_B_D_B_A -837.68169643
sn2_E_A_B_D_A_D sn2_E_A_B_D_A_D -3050.08228644
sn2_E_A_B_C_B_B sn2_E_A_B_C_B_B -989.78485909
