calc label enthalpyR enthalpyP
sn2_E_B_C_D_C_B sn2_E_B_C_D_C_B -3042.45175801 -569.25150176
sn2_E_B_C_C_B_B sn2_E_B_C_C_B_B -982.14730365 -622.14155225
sn2_E_B_C_A_C_B sn2_E_B_C_A_C_B -3003.27753486 -530.07400534
sn2_E_B_C_A_B_C sn2_E_B_C_A_B_C -890.08100936 -890.08096707
sn2_E_B_C_A_B_B sn2_E_B_C_A_B_B -890.08258663 -530.07400380
sn2_E_B_C_A_B_A sn2_E_B_C_A_B_A -890.08089941 -430.96379474
sn2_E_B_C_A_A_C sn2_E_B_C_A_A_C -530.07401668 -890.08575444
sn2_E_B_C_A_A_A sn2_E_B_C_A_A_A -530.07422120 -430.96440829
sn2_E_B_B_A_B_C sn2_E_B_B_A_B_C -1002.15551493 -1002.15095771
sn2_E_B_B_A_B_B sn2_E_B_B_A_B_B -1002.16071668 -642.14763914
sn2_E_B_B_A_A_A sn2_E_B_B_A_A_A -543.04216032
sn2_E_B_A_E_C_B sn2_E_B_A_E_C_B -2966.41368950 -493.20924437
sn2_E_B_A_E_B_B sn2_E_B_A_E_B_B -853.21817348 -493.20924521
sn2_E_B_A_D_A_C sn2_E_B_A_D_A_C -477.17443314 -837.18358153
sn2_E_B_A_C_C_C sn2_E_B_A_C_C_C -3003.27802225 -890.08375446
sn2_E_B_A_C_C_B sn2_E_B_A_C_C_B -3003.28229170 -530.07418485
sn2_E_B_A_C_B_C sn2_E_B_A_C_B_C -890.08374631 -890.08375580
sn2_E_B_A_C_B_B sn2_E_B_A_C_B_B -890.08375934 -530.07318449
sn2_E_B_A_C_A_B sn2_E_B_A_C_A_B -530.07415538 -530.07316960
sn2_E_B_A_B_A_A sn2_E_B_A_B_A_A -642.02029812 -543.04119640
sn2_E_B_A_A_C_B sn2_E_B_A_A_C_B -2911.20698352 -438.00177056
sn2_E_B_A_A_A_D sn2_E_B_A_A_A_D -438.00176549 -2911.20701966
sn2_E_B_A_A_A_C sn2_E_B_A_A_A_C -438.00178412 -798.01160143
sn2_E_B_A_A_A_B sn2_E_B_A_A_A_B -438.00177737 -438.00176621
sn2_E_B_A_A_A_A sn2_E_B_A_A_A_A -438.00178562 -338.88896888
sn2_E_A_E_D_A_D sn2_E_A_E_D_A_D -328.21236797 -2801.42379500
sn2_E_A_E_D_A_C sn2_E_A_E_D_A_C -328.21238788 -688.22890565
sn2_E_A_E_D_A_B sn2_E_A_E_D_A_B -328.21646388 -328.21592150
sn2_E_A_E_C_B_B sn2_E_A_E_C_B_B -741.13790297 -381.12555836
sn2_E_A_E_C_A_D sn2_E_A_E_C_A_D -381.11204085 -2854.33344085
sn2_E_A_E_C_A_B sn2_E_A_E_C_A_B -381.11736729 -381.11978931
sn2_E_A_E_B_B_A sn2_E_A_E_B_B_A -853.22131531 -394.08856234
sn2_E_A_E_B_A_C sn2_E_A_E_B_A_C -493.21529953 -853.21693375
sn2_E_A_E_A_A_C sn2_E_A_E_A_A_C -289.04206440 -649.05826983
sn2_E_A_E_A_A_B sn2_E_A_E_A_A_B -289.03734051 -289.03948449
sn2_E_A_E_A_A_A sn2_E_A_E_A_A_A -289.03843879 -189.92021041
sn2_E_A_D_D_A_D sn2_E_A_D_D_A_D -312.17957558 -2785.39504426
sn2_E_A_D_D_A_B sn2_E_A_D_D_A_B -312.17958379 -312.17960371
sn2_E_A_D_C_C_A sn2_E_A_D_C_C_A -2838.29111166 -265.97070441
sn2_E_A_D_C_A_C sn2_E_A_D_C_A_C -365.08645207 -725.09939157
sn2_E_A_D_C_A_B sn2_E_A_D_C_A_B -365.08642937 -365.08317154
sn2_E_A_D_B_A_B sn2_E_A_D_B_A_B -477.16589071 -477.16643996
sn2_E_A_D_A_A_B sn2_E_A_D_A_A_B -273.00498110 -273.00515645
sn2_E_A_D_A_A_A sn2_E_A_D_A_A_A -273.00514326 -173.88658641
sn2_E_A_C_E_B_B sn2_E_A_C_E_B_B -741.13552259 -381.12247155
sn2_E_A_C_E_A_B sn2_E_A_C_E_A_B -381.11855973 -381.12531251
sn2_E_A_C_E_A_A sn2_E_A_C_E_A_A -381.11486837 -282.00614869
sn2_E_A_C_D_C_A sn2_E_A_C_D_C_A -2836.56788690 -265.97185830
sn2_E_A_C_D_B_A sn2_E_A_C_D_B_A -725.09717441 -265.97186622
sn2_E_A_C_D_A_D sn2_E_A_C_D_A_D -365.08481247 -2838.29157700
sn2_E_A_C_D_A_C sn2_E_A_C_D_A_C -365.08478708 -725.09680367
sn2_E_A_C_D_A_A sn2_E_A_C_D_A_A -365.08481194 -265.97186697
sn2_E_A_C_C_C_B sn2_E_A_C_C_C_B -2891.18455032 -417.98580592
sn2_E_A_C_C_B_B sn2_E_A_C_C_B_B -777.98980772 -417.98581735
sn2_E_A_C_C_A_D sn2_E_A_C_C_A_D -417.98725592 -2891.18751365
sn2_E_A_C_C_A_C sn2_E_A_C_C_A_C -417.97797761 -777.99267777
sn2_E_A_C_C_A_B sn2_E_A_C_C_A_B -417.97677039 -417.98236656
sn2_E_A_C_C_A_A sn2_E_A_C_C_A_A -417.90803090 -318.87022915
sn2_E_A_C_B_C_B sn2_E_A_C_B_C_B -3003.22691721 -530.05942595
sn2_E_A_C_B_B_B sn2_E_A_C_B_B_B -890.06745496 -530.06424755
sn2_E_A_C_B_A_B sn2_E_A_C_B_A_B -530.05652539 -530.05827298
sn2_E_A_C_A_C_A sn2_E_A_C_A_C_A -2798.95746470 -226.79684987
sn2_E_A_C_A_B_B sn2_E_A_C_A_B_B -685.92175405 -325.90961795
sn2_E_A_C_A_A_D sn2_E_A_C_A_A_D -325.90965845 -2799.12603837
sn2_E_A_C_A_A_C sn2_E_A_C_A_A_C -325.90967118 -685.92175742
sn2_E_A_C_A_A_B sn2_E_A_C_A_A_B -325.90965612 -325.90962319
sn2_E_A_C_A_A_A sn2_E_A_C_A_A_A -325.90967431 -226.79685935
