calc label energy
e2ts_E_C_D_E_B_A e2ts_E_C_D_E_B_A -780.927452548696
e2ts_E_C_D_E_A_D-e2ts_E_D_D_E_A_A e2ts_E_D_D_E_A_A -368.017628257243
e2ts_E_C_D_E_A_D-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.805108993781
e2ts_E_C_D_E_A_D-e2ts_E_C_A_E_A_A e2ts_E_C_A_E_A_A -381.697288411251
e2ts_E_C_D_E_A_D-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.663086457657
e2ts_E_C_D_E_A_A-e2ts_E_C_B_E_A_A e2ts_E_C_B_E_A_A -585.887548155719
e2ts_E_C_D_E_A_A-e2ts_E_A_D_E_A_A e2ts_E_A_D_E_A_A -328.809240932913
e2ts_E_C_D_E_A_A-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.663108029337
e2ts_E_C_D_D_B_B e2ts_E_C_D_D_B_B -864.083287988423
e2ts_E_C_D_D_A_C-e2ts_E_A_D_D_A_A e2ts_E_A_D_D_A_A -312.780097549669
e2ts_E_C_D_D_A_C-e2ts_A_C_D_D_A_A e2ts_A_C_D_D_A_A -349.633889853903
e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.871822797058
e2ts_E_C_D_A_C_A-e2ts_E_C_E_A_C_A e2ts_E_C_E_A_C_A -2854.944657920104
e2ts_E_C_D_A_C_A-e2ts_E_C_D_B_C_A e2ts_E_C_D_B_C_A -3043.058076995309
e2ts_E_C_D_A_C_A-e2ts_E_C_B_A_C_A e2ts_E_C_B_A_C_A -3003.871526743565
e2ts_E_C_D_A_C_A-e2ts_E_B_D_A_C_A e2ts_E_B_D_A_C_A -2950.998705469662
e2ts_E_C_D_A_C_A e2ts_E_C_D_A_C_A -2838.916424741877
e2ts_E_C_D_A_A_A-e2ts_C_C_D_A_A_A e2ts_C_C_D_A_A_A -402.505330258333
e2ts_E_C_D_A_A_A e2ts_E_C_D_A_A_A -365.666485148438
e2ts_E_C_C_A_C_C-e2ts_E_C_C_C_C_C e2ts_E_C_C_C_C_C -3443.090980420309
e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -877.781406922829
e2ts_E_C_B_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -824.878115899924
e2ts_E_C_A_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.841701010050
e2ts_E_C_A_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -796.957051485269
e2ts_E_C_A_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -833.819629395483
e2ts_E_C_A_E_B_A-e2ts_E_C_B_E_B_A e2ts_E_C_B_E_B_A -945.902074252864
e2ts_E_C_A_E_B_A-e2ts_C_C_A_E_B_A e2ts_C_C_A_E_B_A -778.553569776271
e2ts_E_C_A_E_A_A-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.805118747342
e2ts_E_C_A_D_C_B-e2ts_E_C_C_D_C_B e2ts_E_C_C_D_C_B -3030.179632761880
e2ts_E_C_A_D_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.105434552077
e2ts_E_C_A_D_B_B e2ts_E_C_A_D_B_B -824.878013395837
e2ts_E_C_A_D_A_A-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.776902086589
e2ts_E_C_A_D_A_A-e2ts_E_B_A_D_A_A e2ts_E_B_A_D_A_A -477.761011981008
e2ts_E_C_A_D_A_A-e2ts_D_C_A_D_A_A e2ts_D_C_A_D_A_A -349.636057100114
e2ts_E_C_A_D_A_A-e2ts_C_C_A_D_A_A e2ts_C_C_A_D_A_A -402.505360859847
e2ts_E_C_A_D_A_A-e2ts_A_C_A_D_A_A e2ts_A_C_A_D_A_A -310.428692866951
e2ts_E_C_A_C_B_A-e2ts_E_C_A_C_B_B e2ts_E_C_A_C_B_B -877.782246441994
e2ts_E_C_A_C_A_A-e2ts_E_C_D_C_A_A e2ts_E_C_D_C_A_A -457.776509980101
e2ts_E_C_A_C_A_A-e2ts_E_B_A_C_A_A e2ts_E_B_A_C_A_A -530.664315121486
e2ts_E_C_A_C_A_A e2ts_E_C_A_C_A_A -418.573899475756
e2ts_E_B_E_E_B_A-e2ts_E_B_E_E_B_B e2ts_E_B_E_E_B_B -1008.223149529328
e2ts_E_B_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -788.020227044443
e2ts_E_B_E_D_B_A-e2ts_E_B_E_D_B_B e2ts_E_B_E_D_B_B -992.190914618846
e2ts_E_B_E_D_B_A-e2ts_D_B_E_D_B_A e2ts_D_B_E_D_B_A -876.974703810354
e2ts_E_B_E_D_B_A-e2ts_B_B_E_D_B_A e2ts_B_B_E_D_B_A -1041.922841726958
e2ts_E_B_E_D_A_A-e2ts_E_E_E_D_A_A e2ts_E_E_E_D_A_A -384.059757262171
e2ts_E_B_E_A_A_A-e2ts_C_B_E_A_A_A e2ts_C_B_E_A_A_A -530.624094815148
e2ts_E_B_D_E_B_A-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -853.805337058758
e2ts_E_B_D_A_B_C-e2ts_E_D_D_A_B_A e2ts_E_D_D_A_B_A -672.812137246993
e2ts_E_B_D_A_B_C-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -725.689678826923
