calc label enthalpyR enthalpyP
e2ts_E_C_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -688.22713605 -227.92638121
e2ts_E_C_E_D_B_A-e2ts_E_C_C_D_B_A e2ts_E_C_C_D_B_A -817.16702173 -356.88682574
e2ts_E_C_E_D_B_A-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.12761178 -227.92791157
e2ts_E_C_E_D_B_A e2ts_E_C_E_D_B_A -320.02068495
e2ts_E_C_E_D_A_D-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -367.39577065 -267.10516191
e2ts_E_C_E_D_A_D-e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.33602393 -336.06846270
e2ts_E_C_E_D_A_D-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.19549688 -372.92579524
e2ts_E_C_E_D_A_D-e2ts_E_C_D_D_A_D e2ts_E_C_D_D_A_D -404.25494878 -303.97497728
e2ts_E_C_E_D_A_D-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.25514967 -303.97939140
e2ts_E_C_E_D_A_D-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.08016394 -264.80156028
e2ts_E_C_E_D_A_B-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -367.39555830 -267.10390488
e2ts_E_C_E_D_A_B-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.19346923 -372.92579655
e2ts_E_C_E_D_A_B-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.25515808 -303.97935441
e2ts_E_C_E_D_A_B-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.15849229 -356.88713900
e2ts_E_C_E_D_A_B-e2ts_E_C_A_D_A_B e2ts_E_C_A_D_A_B -365.07967620 -264.80117822
e2ts_E_C_E_D_A_B-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.08352255 -264.80154836
e2ts_E_C_E_D_A_A-e2ts_D_C_E_D_A_A e2ts_D_C_E_D_A_A -404.25514122 -303.98766530
e2ts_E_C_E_A_B_C-e2ts_E_C_C_A_B_C e2ts_E_C_C_A_B_C -777.99966425 -317.70789059
e2ts_E_C_E_A_B_B-e2ts_E_C_E_E_B_B e2ts_E_C_E_E_B_B -796.33544442 -336.06644891
e2ts_E_C_E_A_B_B-e2ts_E_C_E_C_B_B e2ts_E_C_E_C_B_B -833.20564105 -372.92549316
e2ts_E_C_E_A_B_B-e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -777.99252758 -317.70830657
e2ts_E_C_E_A_B_B e2ts_E_C_E_A_B_B -741.12942435 -280.84003246
e2ts_E_C_E_A_B_A-e2ts_E_C_E_A_B_C e2ts_E_C_E_A_B_C -741.13423883 -280.84406899
e2ts_E_C_E_A_B_A e2ts_E_C_E_A_B_A -740.92735231 -280.83999569
e2ts_E_C_E_A_A_A-e2ts_A_C_E_A_A_A e2ts_A_C_E_A_A_A -325.89438820 -225.63454122
e2ts_E_C_D_E_C_B-e2ts_E_C_E_E_C_B e2ts_E_C_E_E_C_B -2909.44705575 -336.06313352
e2ts_E_C_D_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2854.23236815 -280.83958452
e2ts_E_C_D_E_B_B-e2ts_E_D_D_E_B_B e2ts_E_D_D_E_B_B -727.40802966 -267.10437485
e2ts_E_C_D_E_B_A-e2ts_E_D_D_E_B_A e2ts_E_D_D_E_B_A -727.40858791 -267.10682884
e2ts_E_C_D_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -336.06416798
e2ts_E_C_D_E_B_A-e2ts_E_C_D_E_B_B e2ts_E_C_D_E_B_B -780.21123238 -320.02085672
e2ts_E_C_D_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -832.97832343 -372.92722887
e2ts_E_C_D_E_B_A e2ts_E_C_D_E_B_A -780.07849238 -320.02064637
e2ts_E_C_D_E_A_D-e2ts_E_D_D_E_A_A e2ts_E_D_D_E_A_A -367.39601736 -267.11064217
e2ts_E_C_D_E_A_D-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.19506824 -372.92282813
e2ts_E_C_D_E_A_D-e2ts_E_C_A_E_A_A e2ts_E_C_A_E_A_A -381.12267937 -280.84795078
e2ts_E_C_D_E_A_D-e2ts_A_C_D_E_A_D e2ts_A_C_D_E_A_D -365.07320475 -264.81257007
e2ts_E_C_D_E_A_D-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.07344279 -264.81279908
e2ts_E_C_D_E_A_A-e2ts_E_C_B_E_A_A e2ts_E_C_B_E_A_A -585.27840614 -485.00245943
e2ts_E_C_D_E_A_A-e2ts_E_A_D_E_A_A e2ts_E_A_D_E_A_A -328.22279450 -227.92884433
e2ts_E_C_D_E_A_A-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.07320558 -264.81257397
e2ts_E_C_D_D_B_B e2ts_E_C_D_D_B_B -764.26684597 -303.97906863
e2ts_E_C_D_D_A_C-e2ts_E_A_D_D_A_A e2ts_E_A_D_D_A_A -312.17854286 -211.89151948
e2ts_E_C_D_D_A_C-e2ts_A_C_D_D_A_A e2ts_A_C_D_D_A_A -349.03727533 -248.76540230
e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.25854643 -303.97918752
e2ts_E_C_D_A_C_A-e2ts_E_C_E_A_C_A e2ts_E_C_E_A_C_A -2854.16020182 -280.84064551
e2ts_E_C_D_A_C_A-e2ts_E_C_D_B_C_A e2ts_E_C_D_B_C_A -468.96541009
e2ts_E_C_D_A_C_A-e2ts_E_C_B_A_C_A e2ts_E_C_B_A_C_A -429.77575202
e2ts_E_C_D_A_C_A-e2ts_E_B_D_A_C_A e2ts_E_B_D_A_C_A -2950.24155479 -376.87393555
e2ts_E_C_D_A_C_A e2ts_E_C_D_A_C_A -2838.18658484 -264.80060772
e2ts_E_C_D_A_A_A-e2ts_C_C_D_A_A_A e2ts_C_C_D_A_A_A -401.93060665 -301.66142061
e2ts_E_C_D_A_A_A e2ts_E_C_D_A_A_A -365.08159034 -264.80056538
e2ts_E_C_C_A_C_C-e2ts_E_C_C_C_C_C e2ts_E_C_C_C_C_C -2983.26271015 -409.78822908
e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -777.99253361 -317.70827578
e2ts_E_C_B_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -725.09326577 -264.80086479
e2ts_E_C_A_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.23244773 -227.92808107
e2ts_E_C_A_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -336.06613335
e2ts_E_C_A_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -832.99014374 -372.92294536
e2ts_E_C_A_E_B_A-e2ts_E_C_B_E_B_A e2ts_E_C_B_E_B_A -945.12336266 -485.00138167
e2ts_E_C_A_E_B_A-e2ts_C_C_A_E_B_A e2ts_C_C_A_E_B_A -777.73617880 -317.71539614
e2ts_E_C_A_E_A_A-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.19560044 -372.91672770
e2ts_E_C_A_D_C_B-e2ts_E_C_C_D_C_B e2ts_E_C_C_D_C_B -2930.36278854 -356.88716095
e2ts_E_C_A_D_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2854.23323252 -280.83965859
e2ts_E_C_A_D_B_B e2ts_E_C_A_D_B_B -725.09111409 -264.80122986
e2ts_E_C_A_D_A_A-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.15397132 -356.88595372
e2ts_E_C_A_D_A_A-e2ts_E_B_A_D_A_A e2ts_E_B_A_D_A_A -476.99763608 -376.87965593
e2ts_E_C_A_D_A_A-e2ts_D_C_A_D_A_A e2ts_D_C_A_D_A_A -349.04207911 -248.76105331
e2ts_E_C_A_D_A_A-e2ts_C_C_A_D_A_A e2ts_C_C_A_D_A_A -401.93058970 -301.66151760
e2ts_E_C_A_D_A_A-e2ts_A_C_A_D_A_A e2ts_A_C_A_D_A_A -309.86149842 -209.58475161
e2ts_E_C_A_C_B_A-e2ts_E_C_A_C_B_B e2ts_E_C_A_C_B_B -777.99441353 -317.71268744
e2ts_E_C_A_C_A_A-e2ts_E_C_D_C_A_A e2ts_E_C_D_C_A_A -457.15903192 -356.89071089
e2ts_E_C_A_C_A_A-e2ts_E_B_A_C_A_A e2ts_E_B_A_C_A_A -530.07127442 -429.78311515
e2ts_E_C_A_C_A_A e2ts_E_C_A_C_A_A -417.98230215 -317.71267517
e2ts_E_B_E_E_B_A-e2ts_E_B_E_E_B_B e2ts_E_B_E_E_B_B -908.43183796 -448.15859336
e2ts_E_B_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -688.22739669 -227.92876129
e2ts_E_B_E_D_B_A-e2ts_E_B_E_D_B_B e2ts_E_B_E_D_B_B -892.38571337 -432.10547081
e2ts_E_B_E_D_B_A-e2ts_D_B_E_D_B_A e2ts_D_B_E_D_B_A -876.35225535 -416.06362545
e2ts_E_B_E_D_B_A-e2ts_B_B_E_D_B_A e2ts_B_B_E_D_B_A -1041.31748095 -581.03200963
e2ts_E_B_E_D_A_A-e2ts_E_E_E_D_A_A e2ts_E_E_E_D_A_A -383.45138115 -283.15432973
e2ts_E_B_E_A_A_A-e2ts_C_B_E_A_A_A e2ts_C_B_E_A_A_A -530.05059573 -429.79132371
e2ts_E_B_D_E_B_A-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -853.15280894 -392.91374986
e2ts_E_B_D_E_B_A e2ts_E_B_D_E_B_A -892.30380819 -432.10304117
e2ts_E_B_D_A_B_C-e2ts_E_D_D_A_B_A e2ts_E_D_D_A_B_A -672.19661519 -211.89227253
e2ts_E_B_D_A_B_C-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -724.89320802 -264.80091094
e2ts_E_B_D_A_B_C-e2ts_E_B_D_E_B_A e2ts_E_B_D_E_B_A -892.19242685 -432.10302773
e2ts_E_B_D_A_B_C-e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -797.80026571 -337.70272152
e2ts_E_B_D_A_B_C-e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -632.96091845 -172.71464905
e2ts_E_B_D_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -725.09288064 -264.80063430
e2ts_E_B_D_A_B_B-e2ts_E_B_E_A_B_B e2ts_E_B_E_A_B_B -853.20833103 -392.91781918
e2ts_E_B_D_A_B_B-e2ts_D_B_D_A_B_B e2ts_D_B_D_A_B_B -821.14110898 -360.83442648
e2ts_E_B_D_A_B_A-e2ts_E_B_D_A_B_B e2ts_E_B_D_A_B_B -837.15315003 -376.87396459
e2ts_E_B_D_A_B_A e2ts_E_B_D_A_B_A -376.87367892
e2ts_E_B_D_A_A_A-e2ts_E_B_D_E_A_A e2ts_E_B_D_E_A_A -532.38771334 -432.10412365
e2ts_E_B_D_A_A_A e2ts_E_B_D_A_A_A -476.94023837 -376.87395073
e2ts_E_B_C_A_C_A e2ts_E_B_C_A_C_A -3003.05272008 -429.78266577
e2ts_E_B_C_A_B_A e2ts_E_B_C_A_B_A -429.78272014
e2ts_E_B_A_E_C_A e2ts_E_B_A_E_C_A -2966.39580280 -392.92779169
e2ts_E_B_A_D_B_D-e2ts_E_B_E_D_B_D e2ts_E_B_E_D_B_D -892.21135435 -432.10175902
e2ts_E_B_A_D_B_D-e2ts_E_B_C_D_B_D e2ts_E_B_C_D_B_D -929.02608831 -468.96076628
e2ts_E_B_A_D_B_D-e2ts_E_B_C_D_B_A e2ts_E_B_C_D_B_A -468.96090094
e2ts_E_B_A_D_B_D-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -392.92779175
e2ts_E_B_A_D_B_A e2ts_E_B_A_D_B_A -836.97760196 -376.87963486
e2ts_E_B_A_C_C_A-e2ts_E_B_A_C_C_B e2ts_E_B_A_C_C_B -3003.28203786 -429.78734201
e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -889.89804705 -429.79084443
e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -337.70209649
e2ts_E_B_A_A_A_A e2ts_E_B_A_A_A_A -437.90876212 -337.70210918
e2ts_E_A_E_D_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.26199240 -243.97248461
e2ts_E_A_E_D_A_A-e2ts_E_A_E_A_A_A e2ts_E_A_E_A_A_A -289.03881115 -188.74886010
e2ts_E_A_E_D_A_A-e2ts_B_A_E_D_A_A e2ts_B_A_E_D_A_A -477.15802115 -376.88070097
e2ts_E_A_E_A_C_B-e2ts_E_D_E_A_C_B e2ts_E_D_E_A_C_B -2801.42859648 -227.92915456
e2ts_E_A_E_A_C_B-e2ts_E_C_E_A_C_B e2ts_E_C_E_A_C_B -2854.29685607 -280.83998692
e2ts_E_A_E_A_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2817.43521730 -243.97368222
e2ts_E_A_E_A_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2801.42305172 -227.92742619
e2ts_E_A_E_A_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -227.92702251
e2ts_E_A_E_A_C_A-e2ts_E_A_C_A_C_A e2ts_E_A_C_A_C_A -2799.11621415 -225.63128726
e2ts_E_A_D_D_B_A-e2ts_C_A_D_D_B_A e2ts_C_A_D_D_B_A -709.05590255 -248.76540195
e2ts_E_A_D_D_A_A-e2ts_D_A_D_D_A_A e2ts_D_A_D_D_A_A -296.13793823 -195.85045653
e2ts_E_A_D_C_C_B-e2ts_E_A_D_E_C_B e2ts_E_A_D_E_C_B -2801.38121402 -227.92860422
e2ts_E_A_D_C_C_B e2ts_E_A_D_C_C_B -2838.29278394 -264.80950714
e2ts_E_A_D_C_B_A e2ts_E_A_D_C_B_A -725.09761646 -264.80950485
e2ts_E_A_D_A_C_B-e2ts_E_B_D_A_C_B e2ts_E_B_D_A_C_B -2950.37674915 -376.87452192
e2ts_E_A_D_A_C_A-e2ts_E_A_D_C_C_A e2ts_E_A_D_C_C_A -2838.29277347 -264.80951390
e2ts_E_A_D_A_B_B-e2ts_E_A_D_E_B_B e2ts_E_A_D_E_B_B -688.17685657 -227.93021777
e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -632.93265366 -172.71465615
e2ts_E_A_C_D_C_A-e2ts_E_C_C_D_C_A e2ts_E_C_C_D_C_A -356.88718963
e2ts_E_A_C_A_B_A e2ts_E_A_C_A_B_A -685.92097856 -225.63129603
e2ts_E_A_C_A_A_A-e2ts_E_A_C_D_A_A e2ts_E_A_C_D_A_A -365.08294246 -264.80753850
e2ts_E_A_C_A_A_A e2ts_E_A_C_A_A_A -325.90907462 -225.63105903
e2ts_E_A_B_D_A_A-e2ts_E_E_B_D_A_A e2ts_E_E_B_D_A_A -532.39045709 -432.11006336
e2ts_E_A_B_A_A_A-e2ts_E_A_B_E_A_A e2ts_E_A_B_E_A_A -493.20773229 -392.88643638
e2ts_E_A_A_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2854.23972866 -280.83963765
e2ts_E_A_A_E_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2817.42790622 -243.96853303
e2ts_E_A_A_E_C_B-e2ts_E_A_C_E_C_B e2ts_E_A_C_E_C_B -2854.32265125 -280.83963105
e2ts_E_A_A_E_C_A-e2ts_E_A_D_E_C_A e2ts_E_A_D_E_C_A -2801.42348525 -227.92919238
e2ts_E_A_A_E_C_A e2ts_E_A_A_E_C_A -2762.24641120 -188.74953162
e2ts_E_A_A_E_B_A-e2ts_E_A_D_E_B_A e2ts_E_A_D_E_B_A -688.22781318 -227.92926308
e2ts_E_A_A_D_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2801.42359815 -227.92785012
e2ts_E_A_A_D_C_B-e2ts_E_A_C_D_C_B e2ts_E_A_C_D_C_B -2838.29062712 -264.80798094
e2ts_E_A_A_D_C_A-e2ts_E_D_A_D_C_A e2ts_E_D_A_D_C_A -211.89493599
e2ts_E_A_A_D_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -2801.24667898 -227.92794091
e2ts_E_A_A_D_A_A-e2ts_E_D_A_D_A_A e2ts_E_D_A_D_A_A -312.18517679 -211.89509442
e2ts_E_A_A_C_C_A-e2ts_E_A_E_C_C_A e2ts_E_A_E_C_C_A -2854.32640999 -280.84020633
e2ts_E_A_A_C_C_A e2ts_E_A_A_C_C_A -2799.11730661 -225.63396401
e2ts_E_A_A_C_B_A-e2ts_D_A_A_C_B_A e2ts_D_A_A_C_B_A -669.88806727 -209.58529735
e2ts_E_A_A_B_B_A-e2ts_E_C_A_B_B_A e2ts_E_C_A_B_B_A -429.78634760
e2ts_E_A_A_B_B_A-e2ts_E_B_A_B_B_A e2ts_E_B_A_B_B_A -1001.94421126 -541.86409171
e2ts_E_A_A_A_C_B-e2ts_C_A_A_A_C_B e2ts_C_A_A_A_C_B -2743.90392553 -170.40574887
e2ts_E_A_A_A_C_B-e2ts_A_A_A_A_C_B e2ts_A_A_A_A_C_B -2651.82795797 -78.32112615
e2ts_E_A_A_A_C_A e2ts_E_A_A_A_C_A -2706.99118062 -133.54031296
e2ts_D_E_E_E_A_D-e2ts_D_E_E_E_A_C e2ts_D_E_E_E_A_C -383.43086304 -283.10601335
e2ts_D_E_E_E_A_D-e2ts_A_E_E_E_A_D e2ts_A_E_E_E_A_D -344.24677704 -243.97124490
e2ts_D_E_E_E_A_D e2ts_D_E_E_E_A_D -383.43165321 -283.14697368
e2ts_D_E_E_A_A_A-e2ts_D_E_E_D_A_A e2ts_D_E_E_D_A_A -367.39535866 -267.10615682
e2ts_D_E_E_A_A_A-e2ts_D_E_E_C_A_A e2ts_D_E_E_C_A_A -420.29980068 -320.02193798
e2ts_D_E_D_E_B_A-e2ts_D_E_D_E_B_B e2ts_D_E_D_E_B_B -727.40841039 -267.10498848
e2ts_D_E_D_E_B_A-e2ts_A_E_D_E_B_A e2ts_A_E_D_E_B_A -688.22758203 -227.92641815
e2ts_D_E_D_E_A_A-e2ts_D_E_D_D_A_A e2ts_D_E_D_D_A_A -351.35759819 -251.06701343
e2ts_D_E_D_E_A_A-e2ts_D_E_C_E_A_A e2ts_D_E_C_E_A_A -420.30100517 -320.02077166
e2ts_D_E_D_E_A_A-e2ts_D_C_D_E_A_A e2ts_D_C_D_E_A_A -404.25444443 -303.98838097
e2ts_D_E_D_E_A_A-e2ts_D_A_D_E_A_A e2ts_D_A_D_E_A_A -312.17536360 -211.89511506
e2ts_D_E_D_E_A_A-e2ts_C_E_D_E_A_A e2ts_C_E_D_E_A_A -420.29431344 -320.02078523
e2ts_D_E_D_E_A_A e2ts_D_E_D_E_A_A -367.39578114 -267.10419885
e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -711.36955071 -251.06765573
